,City,Country,Max Temp,Lat,Lng,Hotel Name
1,Bambous Virieux,MU,75.22,-20.3428,57.7575,Casa Tia Villa
2,Hasaki,JP,77.29,35.7333,140.8333,Hotel Sunrise Choshi
4,San Patricio,US,81.84,28.017,-97.5169,"Motel 6 Sinton, TX"
15,Salalah,OM,82.49,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
19,Atuona,PF,77.41,-9.8,-139.0333,Villa Enata
21,Meulaboh,ID,83.25,4.1363,96.1285,Kost Pria
22,Vaini,TO,75.31,-21.2,-175.2,Keleti Beach Resort
23,Chhabra,IN,84.6,24.6667,76.8333,Nagar bhawan
26,Kavaratti,IN,81.77,10.5669,72.642,Hotels in Lakshadweep Islands
27,Kapaa,US,80.92,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
38,Bubaque,GW,79.52,11.2833,-15.8333,"Casa Dora, Bubaque"
58,Hithadhoo,MV,82.04,-0.6,73.0833,Scoop Guest House
60,Tautira,PF,75.22,-17.7333,-149.15,Pension Oaoa
63,Peniche,PT,78.75,39.3558,-9.3811,Hotel Star inn Peniche
65,Nikolskoye,RU,81.01,59.7035,30.7861,Tourist House - Sablino
69,Abay,KZ,77.67,49.6311,72.8539,Guest House on Abaya 144
77,Beaumont,US,78.78,30.0861,-94.1019,Super 8 by Wyndham Beaumont
91,Pushkar,IN,83.01,26.5,74.55,Orchard - Tents and Tranquility
96,Jyvaskyla,FI,83.95,62.2415,25.7209,Scandic Jyväskylä Station
98,Bridgetown,BB,81.09,13.1,-59.6167,Hilton Barbados Resort
105,Bengkulu,ID,81.07,-3.8004,102.2655,Grage Hotel Bengkulu
107,Veraval,IN,83.23,20.9,70.3667,Lords Inn Somnath
110,Galesong,ID,79.54,-5.3166,119.3661,Sapriadi Appy
111,Carutapera,BR,79.84,-1.195,-46.02,Lidera
112,Ponta Do Sol,PT,80.01,32.6667,-17.1,Hotel do Campo
120,Harper,LR,77.95,4.375,-7.7169,Screensaver
122,Greer,US,75.65,34.9387,-82.2271,Quality Inn
124,Butaritari,KI,79.9,3.0707,172.7902,Isles Sunset Lodge
127,Sao Filipe,CV,75.27,14.8961,-24.4956,Hotel Xaguate
130,Port Blair,IN,83.05,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
131,Dingle,PH,79.79,10.9995,122.6711,SEGAYA PROPERTY
133,Black River,JM,75.97,18.0264,-77.8487,Idlers' Rest Beach Hotel
135,Laguna,US,78.44,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
136,Kavieng,PG,82.04,-2.5744,150.7967,Nusa Island Retreat
139,Toledo,ES,77.14,39.8333,-4.0,Hotel Carlos V Toledo
140,Port Elizabeth,ZA,75.09,-33.918,25.5701,39 On Nile Guest House
150,The Valley,AI,82.26,18.217,-63.0578,CeBlue Villas & Beach Resort
153,Vostok,RU,76.66,46.4856,135.8833,
156,Cayenne,GF,79.09,4.9333,-52.3333,Hôtel Le Dronmi
159,Vilyuysk,RU,78.06,63.7553,121.6247,Gostinitsa Viliuisk
160,Dongsheng,CN,76.37,39.8161,109.9776,Crowne Plaza Ordos
162,Buriti Dos Lopes,BR,78.64,-3.175,-41.8669,Pousada Alves
166,Cabo San Lucas,MX,83.52,22.8909,-109.9124,Hotel Tesoro Los Cabos
169,Mahebourg,MU,75.25,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
171,Strakonice,CZ,83.62,49.2614,13.9024,Hotel a restaurace Bílá Růže
176,Lubao,PH,84.15,14.9167,120.55,Hacienda Gracia
178,Kloulklubed,PW,82.9,7.0419,134.2556,Storyboard Beach Resort
182,Sulangan,PH,84.78,11.1373,123.7228,Maia's Beach Resort
200,Sampit,ID,78.17,-2.5333,112.95,Aquarius Boutique Hotel Sampit
203,Benguela,AO,78.03,-12.5763,13.4055,Hotel Praia Morena
205,Texas City,US,80.98,29.3838,-94.9027,Comfort Inn & Suites Texas City
208,Sassandra,CI,79.75,4.95,-6.0833,la terrasse
211,Saint George,US,78.64,37.1041,-113.5841,Best Western Plus Abbey Inn
212,Namatanai,PG,78.87,-3.6667,152.4333,Seagulls Inn Namatani
214,Bardiyah,LY,83.89,31.7561,25.0865,بورتو بردية
215,Puerto Madero,MX,77.2,14.7208,-92.4215,Hotel La Central
220,Grand Gaube,MU,75.6,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
221,Huatulco,MX,75.87,15.8436,-96.3267,Fonatur Operadora Portuaría
228,Uvalde,US,77.18,29.3669,-99.767,
229,Itoman,JP,82.78,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
234,Kokopo,PG,77.22,-4.352,152.2633,Kokopo Beach Bungalow Resort
241,Pundaguitan,PH,84.29,6.3711,126.1689,Leonardo Family Beach House 1
244,Jeremie,HT,79.0,18.65,-74.1167,Auberge’Inn
245,Kinna,SE,79.61,57.5073,12.6946,Hanatorps Camping
251,Olinda,BR,78.53,-8.0089,-34.8553,Hotel Albergue de Olinda
256,Srivardhan,IN,82.02,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
