,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Upernavik,GL,72.7868,-56.1549,43.97,61,100,10.11,overcast clouds
1,Bambous Virieux,MU,-20.3428,57.7575,75.22,67,18,13.31,few clouds
2,Hasaki,JP,35.7333,140.8333,77.29,83,100,29.59,overcast clouds
3,Dikson,RU,73.5069,80.5464,44.42,86,71,2.75,broken clouds
4,San Patricio,US,28.017,-97.5169,81.84,96,55,5.03,broken clouds
5,Gacko,BA,43.1672,18.5353,85.33,23,84,14.94,broken clouds
6,Karratha,AU,-20.7377,116.8463,73.31,57,100,8.34,overcast clouds
7,Suruc,TR,36.9761,38.425,102.4,16,0,13.18,clear sky
8,Iqaluit,CA,63.7506,-68.5145,44.33,100,75,4.0,mist
9,Severo-Kurilsk,RU,50.6789,156.125,57.79,94,62,6.31,broken clouds
10,Cape Town,ZA,-33.9258,18.4232,73.35,8,100,12.93,overcast clouds
11,Hermanus,ZA,-34.4187,19.2345,65.8,53,100,3.06,overcast clouds
12,Tazovskiy,RU,67.4667,78.7,48.18,97,100,11.77,light rain
13,Ushuaia,AR,-54.8,-68.3,31.66,100,90,0.0,snow
14,Rikitea,PF,-23.1203,-134.9692,72.34,79,83,14.16,broken clouds
15,Salalah,OM,17.0151,54.0924,82.49,78,75,16.11,broken clouds
16,Auxerre,FR,47.8,3.5667,69.64,76,91,12.71,overcast clouds
17,Kirgiz-Miyaki,RU,53.6324,54.7979,72.88,28,36,6.02,scattered clouds
18,Constitucion,CL,-35.3333,-72.4167,50.59,91,95,4.47,overcast clouds
19,Atuona,PF,-9.8,-139.0333,77.41,73,38,23.6,scattered clouds
20,Puerto Ayora,EC,-0.7393,-90.3518,71.55,90,59,7.0,broken clouds
21,Meulaboh,ID,4.1363,96.1285,83.25,72,97,6.04,overcast clouds
22,Vaini,TO,-21.2,-175.2,75.31,80,97,1.63,overcast clouds
23,Chhabra,IN,24.6667,76.8333,84.6,78,100,16.17,overcast clouds
24,Vila Franca Do Campo,PT,37.7167,-25.4333,72.14,71,62,7.63,broken clouds
25,Mar Del Plata,AR,-38.0023,-57.5575,44.13,44,37,1.01,scattered clouds
26,Kavaratti,IN,10.5669,72.642,81.77,80,99,19.91,overcast clouds
27,Kapaa,US,22.0752,-159.319,80.92,83,40,12.66,light rain
28,Kodiak,US,57.79,-152.4072,49.1,95,37,5.12,scattered clouds
29,Ulladulla,AU,-35.35,150.4667,57.09,63,100,10.6,overcast clouds
30,Norman Wells,CA,65.282,-126.8329,56.32,91,100,8.32,overcast clouds
31,Saldanha,ZA,-33.0117,17.9442,67.03,45,99,20.8,overcast clouds
32,Lethem,GY,3.3803,-59.7968,74.25,92,88,6.38,overcast clouds
33,Bluff,NZ,-46.6,168.3333,47.8,82,100,22.28,overcast clouds
34,Bagrami,AF,34.4938,69.2743,102.18,12,0,11.5,clear sky
35,Punta Arenas,CL,-53.15,-70.9167,37.51,93,0,20.71,clear sky
36,Vallenar,CL,-28.5708,-70.7581,46.38,70,0,2.35,clear sky
37,Victoria,HK,22.2855,114.1577,89.65,80,80,1.99,broken clouds
38,Bubaque,GW,11.2833,-15.8333,79.52,79,80,4.7,broken clouds
39,Nantucket,US,41.2835,-70.0995,73.99,95,90,13.8,mist
40,Georgetown,MY,5.4112,100.3354,88.9,71,83,7.18,broken clouds
41,New Norfolk,AU,-42.7826,147.0587,54.57,65,93,1.99,overcast clouds
42,Yellowknife,CA,62.456,-114.3525,52.29,87,89,5.01,overcast clouds
43,Najran,SA,17.4924,44.1277,96.22,19,83,16.71,broken clouds
44,Saskylakh,RU,71.9167,114.0833,60.64,60,73,8.05,broken clouds
45,Barranca,PE,-10.75,-77.7667,61.56,90,52,7.49,broken clouds
46,Coquimbo,CL,-29.9533,-71.3436,46.13,87,0,6.91,clear sky
47,Nemuro,JP,43.3236,145.575,62.04,99,87,12.44,overcast clouds
48,Kaitangata,NZ,-46.2817,169.8464,46.99,92,100,9.51,light rain
49,Kavali,IN,14.9167,79.9833,100.45,31,75,18.5,broken clouds
50,Nizhniy Odes,RU,63.6445,54.856,61.0,38,84,6.13,broken clouds
51,Kamaishi,JP,39.2667,141.8833,70.3,91,70,15.08,broken clouds
52,Jamestown,US,42.097,-79.2353,68.07,98,40,1.01,mist
53,Bukachacha,RU,52.9833,116.9167,64.99,68,53,8.16,broken clouds
54,Nizwa,OM,22.9333,57.5333,106.52,20,54,10.47,broken clouds
55,Brae,GB,60.3964,-1.353,60.71,95,100,13.96,overcast clouds
56,Albany,US,42.6001,-73.9662,69.28,96,0,3.24,clear sky
57,Port Lincoln,AU,-34.7333,135.8667,54.43,71,5,13.33,clear sky
58,Hithadhoo,MV,-0.6,73.0833,82.04,75,98,9.04,overcast clouds
59,Tuktoyaktuk,CA,69.4541,-133.0374,43.09,88,99,1.7,overcast clouds
60,Tautira,PF,-17.7333,-149.15,75.22,75,45,7.11,scattered clouds
61,El Alto,PE,-4.2714,-81.2147,63.59,86,22,13.78,few clouds
62,Seoul,KR,37.5683,126.9778,87.31,46,9,5.1,clear sky
63,Peniche,PT,39.3558,-9.3811,78.75,76,5,14.99,clear sky
64,Cherskiy,RU,68.75,161.3,41.32,72,0,12.88,clear sky
65,Nikolskoye,RU,59.7035,30.7861,81.01,31,11,5.41,few clouds
66,Nome,US,64.5011,-165.4064,48.27,93,90,12.66,light rain
67,Broken Hill,AU,-31.95,141.4333,53.26,51,2,13.33,clear sky
68,Hobart,AU,-42.8794,147.3294,54.91,66,20,1.99,few clouds
69,Abay,KZ,49.6311,72.8539,77.67,31,0,15.61,clear sky
70,Sembe,CG,1.6481,14.5806,86.16,51,64,5.82,broken clouds
71,Juneau,US,58.3019,-134.4197,52.84,95,90,0.0,overcast clouds
72,Haines Junction,CA,60.7522,-137.5108,44.67,92,88,3.53,overcast clouds
73,Hambantota,LK,6.1241,81.1185,85.01,70,74,22.21,broken clouds
74,Hamilton,US,39.1834,-84.5333,73.22,95,1,0.0,clear sky
75,Half Moon Bay,US,37.4636,-122.4286,62.82,89,40,0.0,scattered clouds
76,Taoudenni,ML,22.6783,-3.9836,112.46,5,5,11.03,clear sky
77,Beaumont,US,30.0861,-94.1019,78.78,96,1,0.0,mist
